The Witcher 3: Wild Hunt,2015 5 18,92,Action Adventure Rpg,Pc Playstation Xbox Nintendo
Portal 2,2011 4 18,95,Shooter Puzzle,Pc Playstation Xbox
God of War,2018 4 20,94,Action Adventure Rpg,Pc Playstation
The Last of Us,2013 6 14,95,Action Adventure,Playstation
Red Dead Redemption 2,2018 10 26,96,Action Adventure,Pc Playstation Xbox
The Legend of Zelda: Breath of the Wild,2017 3 3,97,Action Adventure Rpg,Nintendo
Uncharted 4: A Thief's End,2016 5 10,93,Action Adventure,Playstation
Portal,2007 10 9,90,Adventure Puzzle,Pc Playstation Xbox
Disco Elysium,2019 10 14,91,Adventure Rpg Indie,Pc Playstation Xbox
Half-Life 2,2004 11 16,96,Action Shooter,Pc Playstation Android
Mass Effect 2,2010 1 26,94,Action Rpg,Pc Playstation Xbox
Grand Theft Auto: San Andreas,2004 10 26,91,Action Adventure Shooter,Pc Playstation Xbox
Residend Evil 2,2019 1 25,91,Action Shooter Adventure,Pc Playstation Xbox
The Last of Us Part II,2020 6 19,93,Action Shooter Adventure,Playstation
Warcraft 3: Reign of Chaos,2002 6 1,92,Strategy,Pc
Max Payne,2001 7 23,89,Action Shooter,Pc Playstation Xbox
Half-Life: Alyx,2020 3 23,93,Action Shooter Adventure,Pc
Elden Ring,2022 2 25,95,Action Rpg,Pc Playstation Xbox
Ghost of Tsushima,2020 7 17,83,Action Adventure Rpg,Playstation
Marvel's Spider-Man,2018 9 7,87,Action Adventure,Pc Playstation
Metal Gear Solid,1998 9 3,94,Action Shooter Adventure,Pc Playstation
Silent Hill 2,2001 9 24,89,Action Adventure,Pc Playstation Xbox
Super Mario Odyssey,2017 10 27,97,Arcade Platformer,Nintendo
Grand Theft Auto V,2013 9 17,92,Action Adventure,Pc Playstation Xbox
Diablo II,2000 6 29,88,Action Rpg,Pc
Need For Speed: Most Wanted,2005 11 15,83,Racing Arcade,Pc Playstation Xbox Nintendo
Metal Gear Solid 3: Snake Eater,2004 11 17,84,Action,Playstation Xbox Nintendo
Fallout: New Vegas,2010 10 19,84,Action Shooter Adventure Rpg,Pc Playstation Xbox
Grand Theft Auto: Vice City,2002 10 27,94,Action Adventure,Pc Playstation Xbox
Shadow of the Colossus,2005 10 18,91,Action Adventure Rpg,Playstation
Final Fantasy VII (2020),2020 4 10,87,Action Adventure Rpg,Pc Playstation
Resident Evil 4 (2005),2005 1 11,83,Action Shooter Adventure,Pc Playstation Xbox
Ultimate Mortal Kombat 3,1995 11 6,62,Fighting,Xbox Nintendo Sega
Metal Gear Solid 2: Sons of Liberty,2001 11 12,96,Action Shooter Adventure,Playstation Xbox
Minecraft,2009 5 10,83,Action Simulation Arcade Mmo Indie,Pc Playstation Xbox
Hollow Knight,2017 2 23,88,Action Indie Platformer,Pc Playstation Xbox
Red Dead Redemption,2010 5 18,95,Action Shooter,Playstation Xbox
Bloodborne,2015 3 24,92,Action Rpg,Playstation
Dark Souls III,2016 4 11,89,Action Rpg,Pc Playstation Xbox
Marvel's Guardians of the Galaxy,2021 10 26,74,Action Shooter Adventure,Pc Playstation Xbox Nintendo
Resident Evil: Village,2021 5 7,83,Action Adventure,Pc Playstation Xbox
Psychonauts 2,2021 8 24,88,Action Adventure Platformer,Pc Playstation Xbox
Need For Speed: Underground 2,2004 11 9,82,Racing,Pc Playstation Xbox Nintendo
StarCraft,1998 3 31,88,Action,Pc Nintendo
Batman: Arkham City,2011 10 18,94,Action Adventure,Pc Playstation Xbox
Uncharted 2: Among Thieves,2009 10 13,96,Action Shooter Adventure,Playstation
StarCraft II,2010 6 27,93,Strategy,Pc
Celeste,2018 1 25,91,Indie Platformer,Pc Playstation Xbox
Ori and the Blind Forest,2015 3 10,88,Adventure Platformer,Pc Xbox
Fallout 2,1998 9 30,86,Rpg,Pc
The Elder Scrolls V: Skyrim,2011 11 11,94,Action Rpg,Pc Playstation Xbox Nintendo
Devil May Cry 3: Dante's Awakening,2005 2 17,84,Action,Pc Playstation Xbox
Batman: Arkham Asylum,2009 10 25,91,Action Adventure,Pc Playstation Xbox
Shin Megami Tensei: Persona 4,2008 7 10,90,Action Adventure Rpg,Playstation
INSIDE,2016 6 28,87,Action Adventure Indie Puzzle Platformer,Pc Playstation Xbox
Shin Megami Tensei: Persona 5,2016 9 15,93,Action Adventure Rpg,Playstation
Forza Horizon 5,2021 11 8,92,Action Adventure Racing,Pc Xbox
Super Smash Bros. Ultimate,2018 12 7,93,Fighting,Nintendo
Metroid Prime,2002 11 17,97,Action Shooter Adventure,Nintendo
